year,BoroCode,BoroName,CT2020,BoroCT2020,NTAName,NTA2020,CDTA2020,GEOID,group,is_top_aff,count
2022,"3",Brooklyn,"052800","3052800",Flatbush (West)-Ditmas Park-Parkville,BK1402,BK14,"36047052800",,,3
2022,"3",Brooklyn,"053000","3053000",Midwood,BK1403,BK14,"36047053000",,,3
2022,"3",Brooklyn,"053200","3053200",Midwood,BK1403,BK14,"36047053200",,,3
2022,"3",Brooklyn,"075000","3075000",Midwood,BK1403,BK14,"36047075000",,,3
2022,"3",Brooklyn,"075200","3075200",Midwood,BK1403,BK14,"36047075200",,,4
2022,"3",Brooklyn,"076200","3076200",Midwood,BK1403,BK14,"36047076200",,,4
2022,"3",Brooklyn,"076400","3076400",Flatbush (West)-Ditmas Park-Parkville,BK1402,BK14,"36047076400",,,3
2022,"3",Brooklyn,"076600","3076600",Flatbush,BK1401,BK14,"36047076600",,,4
2022,"3",Brooklyn,"077000","3077000",Flatbush,BK1401,BK14,"36047077000",,,4
2022,"3",Brooklyn,"077200","3077200",Flatbush,BK1401,BK14,"36047077200",,,4
2022,"3",Brooklyn,"077400","3077400",Flatbush,BK1401,BK14,"36047077400",,,3
2022,"3",Brooklyn,"078601","3078601",Flatbush,BK1401,BK14,"36047078601",,,4
2022,"3",Brooklyn,"078801","3078801",Flatbush,BK1401,BK14,"36047078801",,,4
2022,"3",Brooklyn,"079001","3079001",Flatbush,BK1401,BK14,"36047079001",,,2
2022,"3",Brooklyn,"079002","3079002",East Flatbush-Erasmus,BK1701,BK17,"36047079002",,,2
2022,"3",Brooklyn,"051602","3051602",Flatbush,BK1401,BK14,"36047051602",,,2
2022,"2",Bronx,"018400","2018400",Throgs Neck-Schuylerville,BX1002,BX10,"36005018400",,,1
2022,"2",Bronx,"026601","2026601",Pelham Bay-Country Club-City Island,BX1003,BX10,"36005026601",,,2
2022,"2",Bronx,"026602","2026602",Pelham Bay-Country Club-City Island,BX1003,BX10,"36005026602",,,2
2022,"2",Bronx,"030000","2030000",Pelham Bay-Country Club-City Island,BX1003,BX10,"36005030000",,,2
2021,"1",Manhattan,"023900","1023900",Washington Heights (South),MN1201,MN12,"36061023900",,,2
2021,"2",Bronx,"018900","2018900",Highbridge,BX0402,BX04,"36005018900",NA,TRUE,3
2021,"1",Manhattan,"024302","1024302",Harlem (North),MN1002,MN10,"36061024302",,,2
2021,"2",Bronx,"019300","2019300",Highbridge,BX0402,BX04,"36005019300",,,4
2021,"2",Bronx,"019900","2019900",Highbridge,BX0402,BX04,"36005019900",NA,TRUE,3
2022,"4",Queens,"000101","4000101",Long Island City-Hunters Point,QN0201,QN02,"36081000101",,,1
2022,"3",Brooklyn,"056301","3056301",Greenpoint,BK0101,BK01,"36047056301",,,1
2022,"3",Brooklyn,"056302","3056302",Greenpoint,BK0101,BK01,"36047056302",,,1
2022,"3",Brooklyn,"057901","3057901",Greenpoint,BK0101,BK01,"36047057901",,,1
2022,"3",Brooklyn,"057902","3057902",Greenpoint,BK0101,BK01,"36047057902",,,2
2022,"3",Brooklyn,"056100","3056100",Greenpoint,BK0101,BK01,"36047056100",,,1
2022,"3",Brooklyn,"057300","3057300",Greenpoint,BK0101,BK01,"36047057300",,,2
2022,"3",Brooklyn,"057500","3057500",Greenpoint,BK0101,BK01,"36047057500",,,1
2022,"1",Manhattan,"006200","1006200",Murray Hill-Kips Bay,MN0603,MN06,"36061006200",,,1
2022,"3",Brooklyn,"056500","3056500",Greenpoint,BK0101,BK01,"36047056500",,,1
2019,"3",Brooklyn,"051601","3051601",Flatbush,BK1401,BK14,"36047051601",,,5
2019,"3",Brooklyn,"076600","3076600",Flatbush,BK1401,BK14,"36047076600",,,3
2019,"3",Brooklyn,"077000","3077000",Flatbush,BK1401,BK14,"36047077000",,,4
2019,"3",Brooklyn,"077200","3077200",Flatbush,BK1401,BK14,"36047077200",,,4
2019,"3",Brooklyn,"077400","3077400",Flatbush,BK1401,BK14,"36047077400",,,2
2019,"3",Brooklyn,"078601","3078601",Flatbush,BK1401,BK14,"36047078601",,,4
2019,"3",Brooklyn,"078801","3078801",Flatbush,BK1401,BK14,"36047078801",,,3
2019,"3",Brooklyn,"078802","3078802",East Flatbush-Farragut,BK1702,BK17,"36047078802",,,2
