"GEO_ID","NAME","B25064_001E","B25064_001M",
"Geography","Geographic Area Name","Estimate!!Median gross rent","Margin of Error!!Median gross rent",
"1400000US36047003700","Census Tract 37; Kings County; New York","3,500+","***",
"1400000US36047003800","Census Tract 38; Kings County; New York","2188","245",
"1400000US36047003900","Census Tract 39; Kings County; New York","2482","605",
"1400000US36047004100","Census Tract 41; Kings County; New York","3287","194",
"1400000US36047004300","Census Tract 43; Kings County; New York","2610","483",
"1400000US36047004400","Census Tract 44; Kings County; New York","1702","253",
"1400000US36047004500","Census Tract 45; Kings County; New York","2993","539",
"1400000US36047004600","Census Tract 46; Kings County; New York","1471","961",
"1400000US36047004700","Census Tract 47; Kings County; New York","2226","384",
"1400000US36047004900","Census Tract 49; Kings County; New York","2794","193",
"1400000US36047005000","Census Tract 50; Kings County; New York","1904","179",
"1400000US36047005100","Census Tract 51; Kings County; New York","2655","249",
"1400000US36047005201","Census Tract 52.01; Kings County; New York","-","**",
"1400000US36047005202","Census Tract 52.02; Kings County; New York","2085","179",
"1400000US36047005301","Census Tract 53.01; Kings County; New York","2418","271",
"1400000US36047005302","Census Tract 53.02; Kings County; New York","-","**",
"1400000US36047005303","Census Tract 53.03; Kings County; New York","-","**",
