CTLabel,BoroCode,BoroName,CT2020,BoroCT2020,CDEligibil,NTAName,NTA2020,CDTA2020,CDTANAME,GEOID
"820","3",Brooklyn,"082000","3082000",E,East Flatbush-Erasmus,BK1701,BK17,BK17 East Flatbush (CD 17 Approximation),"36047082000"
"822","3",Brooklyn,"082200","3082200",E,East Flatbush-Erasmus,BK1701,BK17,BK17 East Flatbush (CD 17 Approximation),"36047082200"
"824","3",Brooklyn,"082400","3082400",E,East Flatbush-Erasmus,BK1701,BK17,BK17 East Flatbush (CD 17 Approximation),"36047082400"
"826","3",Brooklyn,"082600","3082600",E,East Flatbush-Erasmus,BK1701,BK17,BK17 East Flatbush (CD 17 Approximation),"36047082600"
"828","3",Brooklyn,"082800","3082800",E,East Flatbush-Erasmus,BK1701,BK17,BK17 East Flatbush (CD 17 Approximation),"36047082800"
"830","3",Brooklyn,"083000","3083000",E,East Flatbush-Farragut,BK1702,BK17,BK17 East Flatbush (CD 17 Approximation),"36047083000"
"832","3",Brooklyn,"083200","3083200",E,East Flatbush-Farragut,BK1702,BK17,BK17 East Flatbush (CD 17 Approximation),"36047083200"
"834","3",Brooklyn,"083400","3083400",I,East Flatbush-Farragut,BK1702,BK17,BK17 East Flatbush (CD 17 Approximation),"36047083400"
"836","3",Brooklyn,"083600","3083600",I,East Flatbush-Farragut,BK1702,BK17,BK17 East Flatbush (CD 17 Approximation),"36047083600"
"838","3",Brooklyn,"083800","3083800",I,East Flatbush-Farragut,BK1702,BK17,BK17 East Flatbush (CD 17 Approximation),"36047083800"
"840","3",Brooklyn,"084000","3084000",E,East Flatbush-Farragut,BK1702,BK17,BK17 East Flatbush (CD 17 Approximation),"36047084000"
"846","3",Brooklyn,"084600","3084600",I,East Flatbush-Farragut,BK1702,BK17,BK17 East Flatbush (CD 17 Approximation),"36047084600"
"848","3",Brooklyn,"084800","3084800",I,East Flatbush-Rugby,BK1703,BK17,BK17 East Flatbush (CD 17 Approximation),"36047084800"
"850","3",Brooklyn,"085000","3085000",E,East Flatbush-Rugby,BK1703,BK17,BK17 East Flatbush (CD 17 Approximation),"36047085000"
"852","3",Brooklyn,"085200","3085200",I,Holy Cross Cemetery,BK1771,BK17,BK17 East Flatbush (CD 17 Approximation),"36047085200"
"854","3",Brooklyn,"085400","3085400",E,East Flatbush-Farragut,BK1702,BK17,BK17 East Flatbush (CD 17 Approximation),"36047085400"
"856","3",Brooklyn,"085600","3085600",E,East Flatbush-Erasmus,BK1701,BK17,BK17 East Flatbush (CD 17 Approximation),"36047085600"
"858","3",Brooklyn,"085800","3085800",I,East Flatbush-Rugby,BK1703,BK17,BK17 East Flatbush (CD 17 Approximation),"36047085800"
"860","3",Brooklyn,"086000","3086000",I,East Flatbush-Rugby,BK1703,BK17,BK17 East Flatbush (CD 17 Approximation),"36047086000"
"862","3",Brooklyn,"086200","3086200",E,East Flatbush-Rugby,BK1703,BK17,BK17 East Flatbush (CD 17 Approximation),"36047086200"
"866","3",Brooklyn,"086600","3086600",I,East Flatbush-Rugby,BK1703,BK17,BK17 East Flatbush (CD 17 Approximation),"36047086600"
